n,mode,steps,metabolism_steps,co2_metabolism_kg,co2_ops_kg,co2_net_kg,o2_metabolism_kg,o2_ops_kg,o2_net_kg,water_metabolism_l,water_ops_l,water_net_l,co2_demand_kg,o2_demand_kg,water_demand_l,ars_nameplate_kg,ogs_nameplate_o2_kg,ogs_nameplate_water_l,wrs_nameplate_l,initial_co2_kg,initial_o2_kg,initial_water_l,final_co2_kg,final_o2_kg,final_water_l
1,none,36,35,0.014444444444444437,0.0,0.014444444444444482,0.011666666666666662,0.0,-0.01166666666666666,0.031666666666666655,0.0,-0.03166666666666629,0.014444444444444444,0.011666666666666667,0.03166666666666666,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,1.805555555555557,0.07166666666666686,49.89166666666668
1,ars,36,35,0.014444444444444437,0.050154320987654356,-0.037142857142857144,0.011666666666666662,0.0,-0.01166666666666666,0.031666666666666655,0.0,-0.03166666666666629,0.014444444444444444,0.011666666666666667,0.03166666666666666,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,0.0,0.07166666666666686,49.89166666666668
1,ogs,36,35,0.014444444444444437,0.0,0.014444444444444482,0.011666666666666662,0.1284722222222223,0.12047619047619053,0.031666666666666655,0.14466298240862263,-0.18046287714411002,0.014444444444444444,0.011666666666666667,0.03166666666666666,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,1.805555555555557,4.696666666666668,44.68379929995615
1,wrs,36,35,0.014444444444444437,0.0,0.014444444444444482,0.011666666666666662,0.0,-0.01166666666666666,0.031666666666666655,-0.02896412037037037,-0.0018749999999982947,0.014444444444444444,0.011666666666666667,0.03166666666666666,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,1.805555555555557,0.07166666666666686,50.93437500000006
2,none,36,35,0.028888888888888874,0.0,0.028888888888888957,0.013714285714285714,0.0,-0.013714285714285714,0.06333333333333331,0.0,-0.06333333333333258,0.028888888888888888,0.023333333333333334,0.06333333333333332,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,2.3111111111111136,0.0,48.78333333333336
2,ars,36,35,0.028888888888888874,0.06419753086419759,-0.037142857142857144,0.013714285714285714,0.0,-0.013714285714285714,0.06333333333333331,0.0,-0.06333333333333258,0.028888888888888888,0.023333333333333334,0.06333333333333332,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,0.0,0.0,48.78333333333336
2,ogs,36,35,0.028888888888888874,0.0,0.028888888888888957,0.023333333333333324,0.1284722222222223,0.1088095238095238,0.06333333333333331,0.14466298240862263,-0.2121295438107763,0.028888888888888888,0.023333333333333334,0.06333333333333332,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,2.3111111111111136,4.288333333333333,43.57546596662283
2,wrs,36,35,0.028888888888888874,0.0,0.028888888888888957,0.013714285714285714,0.0,-0.013714285714285714,0.06333333333333331,-0.05792824074074074,-0.0037499999999965894,0.028888888888888888,0.023333333333333334,0.06333333333333332,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,2.3111111111111136,0.0,50.86875000000012
3,none,36,35,0.04333333333333337,0.0,0.04333333333333344,0.013714285714285714,0.0,-0.013714285714285714,0.09500000000000007,0.0,-0.09499999999999886,0.043333333333333335,0.035,0.09499999999999999,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,2.8166666666666704,0.0,47.67500000000004
3,ars,36,35,0.04333333333333337,0.07824074074074083,-0.037142857142857144,0.013714285714285714,0.0,-0.013714285714285714,0.09500000000000007,0.0,-0.09499999999999886,0.043333333333333335,0.035,0.09499999999999999,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,0.0,0.0,47.67500000000004
3,ogs,36,35,0.04333333333333337,0.0,0.04333333333333344,0.035,0.1284722222222223,0.0971428571428571,0.09500000000000007,0.14466298240862263,-0.2437962104774426,0.043333333333333335,0.035,0.09499999999999999,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,0.48,51.0,2.8166666666666704,3.8799999999999986,42.46713263328951
